"fip","H.Clinton"
"22101","1995"
"22103","5996"
"22105","4267"
"22107","492"
"22109","2647"
"22111","822"
"22113","1002"
"22115","610"
"22117","1663"
"22119","1878"
"22121","2178"
"22123","171"
"22125","902"
"22127","488"
"23001","76"
"23003","73"
"23005","346"
"23007","18"
"23009","51"
"23011","129"
"23013","37"
"23015","29"
"23017","32"
"23019","119"
"23021","14"
"23023","40"
"23025","41"
"23027","27"
"23029","22"
"23031","160"
"15001","0"
"15003","0"
"15007","0"
"15009","0"
"16001","1663"
"16003","19"
"16005","301"
"16007","12"
"16009","20"
"16011","55"
"16013","249"
"16015","36"
"16017","185"
"16019","217"
"16021","27"
"16023","5"
"16025","7"
"16027","278"
"16029","3"
"16031","36"
"16033","0"
"16035","38"
"16037","12"
"16039","77"
"16041","25"
"16043","5"
"16045","50"
"16047","28"
"16049","48"
"16051","24"
"16053","32"
"16055","493"
"16057","310"
"16059","17"
"16061","20"
"16063","15"
"16065","47"
"16067","26"
"16069","155"
"16071","5"
"16073","22"
"16075","46"
"16077","19"
"16079","45"
"16081","84"
"16083","201"
"16085","73"
"16087","35"
"26001","463"
"26003","384"
"26005","3489"
"26007","1102"
"26009","867"
"26011","595"
"26013","270"
"26015","1736"
"26017","5937"
"26019","853"
"26021","6646"
"26023","1010"
"26025","5230"
"26027","1657"
"26029","1044"
"26031","1010"
"26033","1230"
"26035","1090"
"26037","3409"
"26039","494"
"26041","1409"
"26043","908"
"26045","5560"
"26047","1369"
"26049","31284"
"26051","985"
"26053","678"
"26055","4140"
"26057","1185"
"26059","977"
"26061","1109"
"26063","1050"
"26065","18287"
"26067","1491"
"26069","1077"
"26071","527"
"26073","2032"
"26075","5288"
"26077","12593"
"26079","590"
"26081","25899"
"26083","128"
"26085","548"
"26087","3319"
"26089","1459"
"26091","3455"
"26093","6705"
"26095","167"
"26097","500"
"26099","47597"
"26101","1120"
"26103","3188"
"26105","1223"
"26107","1173"
"26109","835"
"26111","3097"
"26113","399"
"26115","6716"
"26117","1681"
"26119","392"
"26121","8220"
"26123","1290"
"26125","92296"
"26127","791"
"26129","862"
"26131","327"
"26133","670"
"26135","273"
"26137","786"
"26139","7686"
"26141","592"
"26143","1163"
"26145","12348"
"26151","1160"
"26153","312"
"26155","3031"
"26147","3665"
"26149","1382"
"26157","1984"
"26159","2484"
"26161","30022"
"26163","163886"
"26165","909"
"28001","3013"
"28003","809"
"28005","1212"
"28007","1519"
"28009","557"
"28011","3029"
"28013","748"
"28015","828"
"28017","1398"
"28019","517"
"28021","1411"
"28023","1044"
"28025","2372"
"28027","2301"
"28029","3373"
"28031","1356"
"28033","5420"
"28035","3708"
"28037","701"
"28039","349"
"28041","374"
"28043","1634"
"28045","893"
"28047","6886"
"28049","31386"
"28051","3301"
"28053","2894"
"28055","175"
"28057","377"
"28059","4811"
"28061","1976"
"28063","1550"
"28065","1806"
"28067","2681"
"28069","1008"
"28071","2451"
"28073","1464"
"28075","3306"
"28077","1112"
"28079","1614"
"28081","3020"
"28083","2094"
"28085","1817"
"28087","4030"
"28089","7414"
"28091","1539"
"28093","3361"
"28095","1913"
"28097","953"
"28099","929"
"28101","1000"
"28103","1397"
"28105","2389"
"28107","3061"
"28109","974"
"28111","401"
"28113","2870"
"28115","733"
"28117","681"
"28119","986"
"28121","4689"
"28123","2013"
"28125","645"
"28127","1855"
"28129","712"
"28131","544"
"28133","2332"
"28135","1341"
"28137","1435"
"28139","575"
"28141","361"
"28143","904"
"28145","593"
"28147","1111"
"28149","3463"
"28151","2982"
"28153","1441"
"28155","397"
"28157","1269"
"28159","1442"
"28161","1214"
"28163","2203"
"0",NA
"12001","17733"
"12003","654"
"12005","5209"
"12007","1056"
"12009","31835"
"12011","132527"
"12013","437"
"12015","8125"
"12017","6863"
"12019","5345"
"12021","12712"
"12023","2299"
"12027","987"
"12029","409"
"12031","58632"
"12033","16765"
"12035","6152"
"12037","665"
"12039","7446"
"12041","428"
"12043","387"
"12045","568"
"12047","758"
"12049","529"
"12051","1156"
"12053","8882"
"12055","3711"
"12057","68936"
"12059","339"
"12061","6897"
"12063","2798"
"12065","1671"
"12067","295"
"12069","15914"
"12071","27940"
"12073","27333"
"12075","1570"
"12077","316"
"12079","1542"
"12081","18116"
"12083","18220"
"12085","6523"
"12086","129467"
"12087","4830"
"12089","2910"
"12091","4559"
"12093","1150"
"12095","66654"
"12097","16512"
"12099","103369"
"12101","21760"
"12103","63699"
"12105","29328"
"12107","3182"
"12113","3938"
"12115","25881"
"12117","22069"
"12109","9734"
"12111","17554"
"12119","7022"
"12121","1475"
"12123","983"
"12125","336"
"12127","26276"
"12129","1659"
"12131","1515"
"12133","858"
"17001","1731"
"17003","770"
"17005","718"
"17007","1957"
